objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,context,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-41395,580,Sword,Leaf shaped,,,Bronze Age,p0gjgrs6qb2,,"Christie's Sale, 14. 7. 24.,Rosehill Collection 58. 45/1.,late Earl of Northesk",,,Private Collection,"Switzerland,Swiss Lakes",,,"auction,lake",,,Switzerland,,Suisse,46.7985624,8.2319736,considered a fake,,,,592,"hilt 64; 51,blade 48",,,"thick patina, dark green",smooth,blade 6,,,,"The rivets are fastened into dome shaped heads, which are dark golden bronze. The hilt is decorated with rings of raised small bosses. Hilt plates of metal rivetted to blade. the joins show along the edges.",,considered a fake,Denis Antoine,https://farm1.staticflickr.com/486/19003000029_5c3569256b_z.jpg,https://farm1.staticflickr.com/486/19003000029_5c3569256b_b.jpg,https://www.flickr.com/photos/115096994@N02/19003000029,superuser,ForeignSwordsMisc
BAI-41394,433,Sword,,,,Bronze Age,p0gjgrs6qb2,,"Christie's Sale,14.7.24, 60,Late Earl of Northesk,(Rosehill Collection)",,,Private Collection,"Switzerland,Swiss Lakes",,,"auction,lake",,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,435,"blade 38, 47",,,"Almost black, covering a very thick green, rust brown on reverse.",Much flaked & worn,blade 9,,,,Point broken off.,,,Joellen McGann,https://farm1.staticflickr.com/330/19183360412_baafe0907d_z.jpg,https://farm1.staticflickr.com/330/19183360412_baafe0907d_b.jpg,https://www.flickr.com/photos/115096994@N02/19183360412,superuser,ForeignSwordsMisc
BAI-41393,433,Sword,,Fragment,,Bronze Age,p0gjgrs6qb2,,"ex R. W. Kennard's,Sotheby's Sale, 25-6.iii.30,Lot 48",,,Private Collection,"Switzerland,Lake Dwellings",,,auction,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,83,39,,,,,8,,,,,"Sotheby's Catalogue, 25.iii.30, p. 7",,Joellen McGann,https://farm1.staticflickr.com/356/19183383122_79aa7c66e5_z.jpg,https://farm1.staticflickr.com/356/19183383122_79aa7c66e5_b.jpg,https://www.flickr.com/photos/115096994@N02/19183383122,superuser,ForeignSwordsMisc
BAI-41392,433,Sword,Leaf shaped,,,Bronze Age,p0gjgrs6qb2,,"Christie's Sale, 14.7.24,60/3,Late Earl of Northesk (Rosehill Collection)",,,Private Collection,"Switzerland,Swiss Lakes",,,"auction,lake",,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,220,blade 27,,,"Almost black, with brown patches.",Very rough,blade 7,,,,,,,Joellen McGann,https://farm1.staticflickr.com/377/19003070759_4895cdf273_z.jpg,https://farm1.staticflickr.com/377/19003070759_4895cdf273_b.jpg,https://www.flickr.com/photos/115096994@N02/19003070759,superuser,ForeignSwordsMisc
BAI-41390,433,Ferrule,,,,Bronze Age,p0gjgrs6qb2,,"ex. R.W. Kennerd's,Sotheby's Sale, 25-6.iii.30,Lot 48",,,Private Collection,"Switzerland,Lake Dwellings",,,auction,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,47,27,,,,,socket 13,,,,,"Sotheby's Catalogue, 25.iii.30; p. 7",,Joellen McGann,https://farm1.staticflickr.com/390/18568634223_7372161c27_z.jpg,https://farm1.staticflickr.com/390/18568634223_7372161c27_b.jpg,https://www.flickr.com/photos/115096994@N02/18568634223,superuser,ForeignSwordsMisc
BAI-40259,433,Sickle,,,,Bronze Age,p0gjgrs6qb2,,"University Museum, Birmingham,DCCCXLVIII",DCCCXLVIII,,Birmingham University Museum,Switzerland,,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,180,,,,,,,,,,Curved blade,,,Joellen McGann,https://farm1.staticflickr.com/336/18342501385_ae153210f3_z.jpg,https://farm1.staticflickr.com/336/18342501385_ae153210f3_b.jpg,https://www.flickr.com/photos/115096994@N02/18342501385,superuser,ForeignTools
BAI-40246,433,Knife,,,,Bronze Age,p0gjgrs6qb2,,B'ham University,,,Birmingham University Museum,Switzerland,,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,179,10,,30,Light green,Very smooth + uniform,,,Bronze,,,,,Joellen McGann,https://farm8.staticflickr.com/7732/17721834483_b01d834f27_z.jpg,https://farm8.staticflickr.com/7732/17721834483_b01d834f27_b.jpg,https://www.flickr.com/photos/115096994@N02/17721834483,superuser,ForeignTools
BAI-40327,433,Knife,,,,Bronze Age,p0gjgrs6qb2,,"Cheltenham Museum,Bushnell Collection",,,Cheltenham Museum,"Switzerland,Found in a lake,Label: ""Leaf shape spear head with rivet found in a Swiss Lake""",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,133,40,,42,"Light green with white encrustation, fairly smooth",Rough,,,Bronze,,,,Nothing more known,Joellen McGann,https://farm1.staticflickr.com/460/18343932701_42074bfa60_z.jpg,https://farm1.staticflickr.com/460/18343932701_42074bfa60_b.jpg,https://www.flickr.com/photos/115096994@N02/18343932701,superuser,ForeignTools
BAI-40314,433,Sickle,,,,Bronze Age,p0gjgrs6qb2,,"Cheltenham Museum,Bushnell Collection",,,Cheltenham Museum,"Switzerland,found in a lake,Label: ""bronze falv (sickle) found in a Swiss Lake""",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,,,,62,Complete light green patina,Fairly Smooth,,,Bronze,,,,Nothing more known,Joellen McGann,https://farm8.staticflickr.com/7754/17719862824_5d3cd0a491_z.jpg,https://farm8.staticflickr.com/7754/17719862824_5d3cd0a491_b.jpg,https://www.flickr.com/photos/115096994@N02/17719862824,superuser,ForeignTools
BAI-40248,433,Knife,,,,Bronze Age,p0gjgrs6qb2,,"Cheltenham Museum,Bushnell Collection",,,Cheltenham Museum,"Switzerland,found in a lake",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,236,,,71,"Very free from any coloured deposit. Metal unusually ""clean + bright"".",Smooth bright bronze,,,Bronze,Unknown beyond label.,,Label:Bronze knife with horn handle found in Swiss Lake.,,Joellen McGann,https://farm8.staticflickr.com/7739/18342502755_d0a99a973e_z.jpg,https://farm8.staticflickr.com/7739/18342502755_d0a99a973e_b.jpg,https://www.flickr.com/photos/115096994@N02/18342502755,superuser,ForeignTools
