objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,context,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-41388,433,Sword,Leaf shaped,,,Bronze Age,p0gjgrs6qb2,,"""Planes"", Mallorca",,,Private Collection,"Spain,Balearic Islands,Mallorca,?(San Horne de Son Sunyer)",,,,,,Spain,,"Majorca, Spain",39.613432,2.880353635614980,,,,,750,hilt plate 59; blade 51,,,Rich green,Corroded,,,,,Hilt is a separate casting & a very good fit & not so corroded as blade.,,There are portions of 2 other swords. The sketch shows part with similar hilt. The other is a blade only. Also a dagger blade.,Joellen McGann,https://farm1.staticflickr.com/382/19001743038_4683eb383a_z.jpg,https://farm1.staticflickr.com/382/19001743038_4683eb383a_b.jpg,https://www.flickr.com/photos/115096994@N02/19001743038,superuser,ForeignSwordsMisc
BAI-5019,433,Socketed Celt,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Oxford,Double looped socketed bronze celt.,""Central Portugal, by exchange (Cambridge) 1925""",,,Pitt Rivers Museum,portugal (central),,,,,,Portugal,,Portugal,39.6621648,-8.1353519,,,,,164,61,51,,,Rather roughly cast. Oxidised.,56,"Site: unspecified location in Central Portugal - geolocation not accurate to 10 kms,Width: edge 51mm; loops: 61mm,Thickness: socket 56mm",,,Edge damaged.,,,Joellen McGann,http://farm4.staticflickr.com/3809/13306522013_c6e64ca246_z.jpg,http://farm4.staticflickr.com/3809/13306522013_c6e64ca246_b.jpg,http://www.flickr.com/photos/MicroPasts/13306522013,superuser,drawB8
BAI-4668,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Oxford, by exchange 1925, Cambridge",,,Pitt Rivers Museum,portugal (north),,,,,,Portugal,,Portugal,39.6621648,-8.1353519,,,,,221,26,49,,,rough cast rather - not trimmed or smooth,13,"Site: unspecified location in Northern Portugal - geolocation not accurate to 10 kms,  Width: edge 49; middle 26; end of butt 40,  Thickness: 13; 20; 29; 42",,,,,"""Double-lopped socketed bronze celt with mould filling not removed. N. Portugal. By exchanged 1925, Cambridge.""",Joellen McGann,http://farm8.staticflickr.com/7111/13306674444_1edc56702a_z.jpg,http://farm8.staticflickr.com/7111/13306674444_1edc56702a_b.jpg,http://www.flickr.com/photos/MicroPasts/13306674444,superuser,drawB8
BAI-4667,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Oxford, ""Double-looped socketed bronze celt with mould"", ""filling not removed"", N. Portugal, ""By exchange 1925 Cambridge""",,,Pitt Rivers Museum,portugal (north),,,,,,Portugal,,Portugal,39.6621648,-8.1353519,,,,,221,26,47,,,rather roughly cast - untrimmed and a little chipped,30,"Site: unspecified location in Northern portugal - geolocation not accurate to 10 kms,  Width: edge 47; middle 26; butt 40,  Thickness: 30; 20; 12; 41",,,,,,Joellen McGann,http://farm4.staticflickr.com/3723/13306674714_883a784108_z.jpg,http://farm4.staticflickr.com/3723/13306674714_883a784108_b.jpg,http://www.flickr.com/photos/MicroPasts/13306674714,superuser,drawB8
BAI-5018,433,Socketed Celt,,,,Bronze Age,p0gjgrs6qb2,,"Putt Rivers Museum, Oxford,""Double-looped socketed bronze celt central Portugal by exchanges (Cambridge) 1925.""",,,Private Collection,portugal (central),,,,,,Portugal,,Portugal,39.6621648,-8.1353519,,,,,163,63,52,,,Rough. Probably from oxidation and wear.,56,"Site: unspecified location in Central Portugal - geolocation not accurate to 10 kms,Width: edge 52mm; loops 63mm,Thickness: socket 56mm",,,Fairly well formed casting.,,,Joellen McGann,http://farm8.staticflickr.com/7450/13306730054_529ee7cc49_z.jpg,http://farm8.staticflickr.com/7450/13306730054_529ee7cc49_b.jpg,http://www.flickr.com/photos/MicroPasts/13306730054,superuser,drawB8
BAI-40906,433,Arrowhead,,,,Bronze Age,p0gjgrs6qb2,,"Sotheby's Sale, 27.v.29, Lot 182,with pan-shaped flat axe",,,Private Collection,"(Scythian),Site unknown",,,auction,,,,,,39.9566,26.2392,,,,,21.5,9,,1.94,,,,Weight: 30 grains Troy = 1.94 gms,,,Point only,,,Joellen McGann,https://farm9.staticflickr.com/8838/18611803941_b128783f75_z.jpg,https://farm9.staticflickr.com/8838/18611803941_b128783f75_b.jpg,https://www.flickr.com/photos/115096994@N02/18611803941,superuser,ForeignWeapons
BAI-40905,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,,"Sotheby's Sale, 13.xii.28,Lot No. 27 (3),Vendor, C. Gove Jones, Esq.",,,Private Collection,Site unknown,,,auction,,,,,,39.9566,26.2392,,,,,,,,,,,,,,,Eyelets in blade. Edges damaged. Point + socket broken off.,,,Joellen McGann,https://farm9.staticflickr.com/8891/18583334606_cb8709efb2_z.jpg,https://farm9.staticflickr.com/8891/18583334606_cb8709efb2_b.jpg,https://www.flickr.com/photos/115096994@N02/18583334606,superuser,ForeignWeapons
BAI-40903,433,Dagger,,,,Bronze Age,p0gjgrs6qb2,,"Sotheby's Sale, 31.7.23, Lot 96,(Mrs. Randolph Berens, 14 Prices Gardens, SW)",,,Private Collection,"Locality unknown,Egyptian style, see Flinders Petrie 1917, Tools & Weapons, pl. XXXIV, no. 42-43",,,auction,,,Egypt,,,39.9566,26.2392,,,,,216,"blade 33.5, 48",,127.56,"Light green matte, soil adheres.","A little rough, rather encrusted (thinly).","blade 6, at hilt 11",,,,Hilt is missing.,,,Joellen McGann,https://farm1.staticflickr.com/434/18423607559_28da8e6638_z.jpg,https://farm1.staticflickr.com/434/18423607559_28da8e6638_b.jpg,https://www.flickr.com/photos/115096994@N02/18423607559,superuser,ForeignWeapons
BAI-40869,433,Halberd,,,,Bronze Age,p0gjgrs6qb2,,"Herts County Museum, St. Albans,Lent by Capt. J. H. Ball, RAF,25,(L3)",RAF25 L3,,Hertfordshire County Museum,"Spain,Cuenca",,,,,,Spain,,"Cuenca, Cuenca, Spain",40.0661031,-2.1313528,,,,,179,"blade 61, 53; socket 31",,290.58,Dark green + emerald green.,Much pocked + pitted. Traces of light earth.,socket 28 blade 12.5,,,,A raised rib run down blade + round socket.,,,Joellen McGann,https://farm1.staticflickr.com/415/18612758331_27b58bac69_z.jpg,https://farm1.staticflickr.com/415/18612758331_27b58bac69_b.jpg,https://www.flickr.com/photos/115096994@N02/18612758331,superuser,ForeignWeapons
BAI-40798,433,Dagger,FLANGE-HILTED ,,,Bronze Age,p0gjgrs6qb2,,"British Museum, WG 266",WG.266,H_WG-266,British Museum,"Italy,Peschiera,""dredged by W. K. Foster in 1879""",,,"river,dredged",,,Italy,,"75010 Peschiera Mt, Italy",40.2916721,16.5672232,,,,1879,179,27,,,,Golden in colour except for irregular dark patination.,4,,,,Height of flanges 5,"Harding, BMQ (1973)",,Joellen McGann,https://farm1.staticflickr.com/509/17989728674_609ca1964f_z.jpg,https://farm1.staticflickr.com/509/17989728674_609ca1964f_b.jpg,https://www.flickr.com/photos/115096994@N02/17989728674,superuser,ForeignWeapons
BAI-40806,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,,B'ham University,,,Birmingham University Museum,"Italy,Basillicata,Ferrandnia or Fernandina",,,,,,Italy,,"75013 Ferrandina Mt, Italy",40.49886875,16.454699560000000,,,,,217,42,,,,,,,Bronze,,,,,Joellen McGann,https://farm9.staticflickr.com/8880/18426066839_1cbb8ca9ba_z.jpg,https://farm9.staticflickr.com/8880/18426066839_1cbb8ca9ba_b.jpg,https://www.flickr.com/photos/115096994@N02/18426066839,superuser,ForeignWeapons
