objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,context,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-4997,433,Socketed Celt,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Farnham",,,Pitt Rivers Museum,hungary,,,,,,Hungary,,Hungary,47.1817585,19.5060937,,,,,112,45,40,227,,smooth dark bronze,29,"Site: unspecified location in Hungary - geolocation not accurate to 10 kms,Width: edge 40mm; socket 45mm,Thickness: socket 29mm,Weight: 226.8 gms",,,,,,Joellen McGann,http://farm8.staticflickr.com/7406/13306736294_a9492b1d0c_z.jpg,http://farm8.staticflickr.com/7406/13306736294_a9492b1d0c_b.jpg,http://www.flickr.com/photos/MicroPasts/13306736294,superuser,drawB8
BAI-4993,433,Socketed Celt,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Oxford,purchased 1901",,,Pitt Rivers Museum,hungary,,,,,,Hungary,,Hungary,47.1817585,19.5060937,,,,,70,29,39,,,well cast. smooth. not worn. only slightly oxydized.,23,"Site: unspecified location in Hungary - geolocation not accurate to 10 kms,Width: edge 39mm; socket 29 mm,Thickness: socket 23mm",,,,,,Joellen McGann,http://farm3.staticflickr.com/2847/13306737554_6315b6f46d_z.jpg,http://farm3.staticflickr.com/2847/13306737554_6315b6f46d_b.jpg,http://www.flickr.com/photos/MicroPasts/13306737554,superuser,drawB8
BAI-4975,433,Socketed Celt,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Farnham",,,Pitt Rivers Museum,hungary,,,,,,Hungary,,Hungary,47.1817585,19.5060937,,,,,72,63,,113,dark bronze,smooth.,32,"Width: socketed loop 63, middle 35,  Thickness: socket 32,  Weight: 113.39 gms",,,,,,Joellen McGann,http://farm3.staticflickr.com/2841/13306534753_71e68cfa78_z.jpg,http://farm3.staticflickr.com/2841/13306534753_71e68cfa78_b.jpg,http://www.flickr.com/photos/MicroPasts/13306534753,superuser,drawB8
BAI-4552,433,Axe,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Farnham",,,Pitt Rivers Museum,hungary,,,,,,Hungary,,Hungary,47.1817585,19.5060937,,,,,200,35,22,340,,smooth dull green,28,"Unspecified location in Hungary - geolocation not accurate to 10 kms,  Width: edge 22; socket 35; butt 54,  Thickness: socket 28; socket inside 27 x 28,  Weight: 340.2 gms",,,edge indented,,,Joellen McGann,http://farm3.staticflickr.com/2841/13306421253_f42786398f_z.jpg,http://farm3.staticflickr.com/2841/13306421253_f42786398f_b.jpg,http://www.flickr.com/photos/MicroPasts/13306421253,superuser,drawB8
BAI-4551,433,Axe,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Farnham",,,Pitt Rivers Museum,hungary,,,,,,Hungary,,Hungary,47.1817585,19.5060937,,,,,204,39,29,454,,rough green,24,"Unspecified location in Hungary - geolocation not accurate to 10 kms,  Width: edge 29; socket 39; butt 50,  Thickness: socket inside 24x28,  Weight 453.6 gms",,,edge indented,,,Joellen McGann,http://farm4.staticflickr.com/3756/13306269235_eeb4d24d7e_z.jpg,http://farm4.staticflickr.com/3756/13306269235_eeb4d24d7e_b.jpg,http://www.flickr.com/photos/MicroPasts/13306269235,superuser,drawB8
BAI-4550,433,Axe,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Farnham",,,Pitt Rivers Museum,hungary,,,,,,Hungary,,Hungary,47.1817585,19.5060937,,,,,222,48,34,737,,rough green,37,"Unspecified location in Hungary - geolocation not accurate to 10 kms.,  Width: edge 34; socket 48; head 56,  Thickness: socket 37; head 56,  Weight: 737.1 gms",,,edge smooth,,,Joellen McGann,http://farm4.staticflickr.com/3834/13306422853_b08928eedc_z.jpg,http://farm4.staticflickr.com/3834/13306422853_b08928eedc_b.jpg,http://www.flickr.com/photos/MicroPasts/13306422853,superuser,drawB8
BAI-4549,433,Axe,,,,Bronze Age,p0gjgrs6qb2,,"Pitt-Rivers Museum, Farnham",,,Pitt Rivers Museum,hungary,,,,,,Hungary,,Hungary,47.1817585,19.5060937,,,,,220,48,35,765,,rough green,37,"Site: unspecified location in Hungary - geolocation not accurate to 10 kms,  Width: edge 35; socket 48; head 67 x 67,  Thickness: socket 37 x 29,  Weight: 765.45 gms",,,,,,Joellen McGann,http://farm8.staticflickr.com/7420/13306270905_3797d65fef_z.jpg,http://farm8.staticflickr.com/7420/13306270905_3797d65fef_b.jpg,http://www.flickr.com/photos/MicroPasts/13306270905,superuser,drawB8
BAI-4548,433,Axe,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Farnham",,,Pitt Rivers Museum,hungary,,,,,,Hungary,,Hungary,47.1817585,19.5060937,,,,,193,36,29,397,,rough green,27,"Unspecified location in Hungary - geolocation not accurate to 10 kms,  Width: edge 29; socket 36; butt 55,  Thickness: socket (inside) 27 x 24,  Weight: 396.88 gms",,,edge indented,,,Joellen McGann,http://farm8.staticflickr.com/7363/13306424663_edfe2af471_z.jpg,http://farm8.staticflickr.com/7363/13306424663_edfe2af471_b.jpg,http://www.flickr.com/photos/MicroPasts/13306424663,superuser,drawB8
BAI-4544,433,Axe,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Farnham",,,Pitt Rivers Museum,hungary,,,,,,Hungary,,Hungary,47.1817585,19.5060937,,,,,124,32,44,397,,smooth dark bronze,17,"Unspecified location in Hungary - geolocation not accurate to 10 kms,  Width: edge 44; middle 32; butt 20,  Thickness: 17; 22,  Weight: 396.88 gms",,,,,,Joellen McGann,http://farm3.staticflickr.com/2845/13306278095_396a0720b5_z.jpg,http://farm3.staticflickr.com/2845/13306278095_396a0720b5_b.jpg,http://www.flickr.com/photos/MicroPasts/13306278095,superuser,drawB8
BAI-4445,433,Flat Celt,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Farnham",,,Pitt Rivers Museum,hungary,,,,,,Hungary,,Hungary,47.1817585,19.5060937,,,,,55,30,38,170,green,smooth,13,"Site: unspecified site in Hungary - geolocation not accurate to 10 kms,  Width: edge 38; middle 30; butt 25,  Weight: 170.1 gms",,,,,,Joellen McGann,http://farm3.staticflickr.com/2851/13306187955_c0e2ca316f_z.jpg,http://farm3.staticflickr.com/2851/13306187955_c0e2ca316f_b.jpg,http://www.flickr.com/photos/MicroPasts/13306187955,superuser,drawB8
