objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,context,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-5297,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Private Collection,F. Ransom, Esq. Hitchin",,,Private Collection,unprovenanced,,,,,,,,,,,,,,,142,30,42,379,Dark green patina a brass coloured surface showing in places.,Rough. Very crudely cast and much pocked with large pits.,26,"Width: edge 42mm; middle 30mm; butt 29mm,Thickness: 26mm; 15mm; 8.5mm; 7.5mm,Weight: 379.17 gms",,,,,,Joellen McGann,http://farm4.staticflickr.com/3671/12674535694_ed2e9680b1_z.jpg,http://farm4.staticflickr.com/3671/12674535694_ed2e9680b1_b.jpg,http://www.flickr.com/photos/MicroPasts/12674535694,superuser,drawA9
BAI-5296,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Private Collection,F. Ransom, Esq. Hitchin",,,Private Collection,unprovenanced.,,,,,,,,,,,,,,,177,24,72,528,Bluish sea green patina on one side.,Smooth on one side of blade. Slightly pitted other side a little rough owing to earth corroded with. A good deal of earth patina in sockets.,25,"Width: edge 72mm; middle 24mm; butt 19.5mm,Thickness: 24.5mm; 10.75mm,Weight: 528.01 gms",,,,,,Joellen McGann,http://farm3.staticflickr.com/2816/12674053645_e245bfa1a6_z.jpg,http://farm3.staticflickr.com/2816/12674053645_e245bfa1a6_b.jpg,http://www.flickr.com/photos/MicroPasts/12674053645,superuser,drawA9
BAI-5295,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Private Collection,F. Ransom, Esq., Hitchin",,,Private Collection,unprovenanced.,,,,,,,,,,,,,,,161,27,31,295,Light green rough dull patina all over. Sockets - medium green patina polished - cover with clay.,Rough. Pitted everywhere except sockets. Traces of clay all over the implement.,28,"Width: edge 31mm; middle 27mm; butt 23.5mm,Thickness: 28mm; 8.5mm,Weight 294.92 gms",,,,,,Joellen McGann,http://farm8.staticflickr.com/7425/12674536314_e4bb827c61_z.jpg,http://farm8.staticflickr.com/7425/12674536314_e4bb827c61_b.jpg,http://www.flickr.com/photos/MicroPasts/12674536314,superuser,drawA9
BAI-5294,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Private Collection,F. Ransom, Esq. Hitchin,No. 55",,,Private Collection,unprovenanced,,,,,,,,,,,,,,,155,29,44,308,Dull thin dark green patina.,"Slightly rough. Slight corrosion all over, also traces of gravel.",26,"Width: edge 44mm; middle 29mm; butt 19.55mm,Thickness: 26mm; 7.5mm; 7mm,Weight: 308.3 gms",,,The mould evidently stopped in casting.,,,Joellen McGann,http://farm4.staticflickr.com/3687/12674536584_0778819715_z.jpg,http://farm4.staticflickr.com/3687/12674536584_0778819715_b.jpg,http://www.flickr.com/photos/MicroPasts/12674536584,superuser,drawA9
BAI-5293,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Private Collection,F. Ransom, Esq., Hitchin",,,Private Collection,unprovenanced,,,,,,,,,,,,,,,171,29,57,496,Mostly dark sea green patina.,"Slightly rough, on one side earth is thinly encrusted.",30,"Width: edge 56.5mm; middle 29mm; butt 23mm,Thickness: 30mm; 14mm; 11.75mm,Weight: 496.11 gms",,,,,,Joellen McGann,http://farm6.staticflickr.com/5481/12674183103_68037b6823_z.jpg,http://farm6.staticflickr.com/5481/12674183103_68037b6823_b.jpg,http://www.flickr.com/photos/MicroPasts/12674183103,superuser,drawA9
BAI-5292,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Private Collection,F. Ransom, Esq., Hitchin",,,Private Collection,unprovenanced.,,,,,,,,,,,,,,,173,30,43,415,Emerald greenish encrusted patina all over. This seems to be caused by earth mixed with patina.,All rough,30,"Width: edge 43mm; middle 30mm; butt 23mm,Thickness: 29.5mm; 6mm,Weight: 414.59 gms",,,,,,Joellen McGann,http://farm3.staticflickr.com/2877/12674056355_6175957791_z.jpg,http://farm3.staticflickr.com/2877/12674056355_6175957791_b.jpg,http://www.flickr.com/photos/MicroPasts/12674056355,superuser,drawA9
BAI-5291,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Private Collection,F. Ransom, Esq. Hitchin.",,,Private Collection,unprovenanced,,,,,,,,,,,,,,,162,31,41,399,Thick polished dark green patina rather chipped.,"Smooth. Sand adheres to sockets, sides slightly pocked.",26,"Width: edge 41mm; middle 30.5mm; butt 25mm,Thickness: 25.5mm; 10mm; 6.5mm,Weight: 398.65 gms",,,Well preserved.,,,Joellen McGann,http://farm4.staticflickr.com/3668/12674539364_a73b431602_z.jpg,http://farm4.staticflickr.com/3668/12674539364_a73b431602_b.jpg,http://www.flickr.com/photos/MicroPasts/12674539364,superuser,drawA9
BAI-5290,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Private Collection,F. Ransom, Esq., Hitchin",,,Private Collection,provenance unknown,,,,,,,,,,,,,,,116,30,48,241,Dark green patina a good deal chipped off on oneside - especially the blade.,"Fairly smooth, a little pitted.",21,"Width: edge 48mm; middle 30mm,Thickness: 21mm; 7.5mm,Weight: 240.97 gms (slightly under)",,,,,,Joellen McGann,http://farm3.staticflickr.com/2872/12674539704_2125465f66_z.jpg,http://farm3.staticflickr.com/2872/12674539704_2125465f66_b.jpg,http://www.flickr.com/photos/MicroPasts/12674539704,superuser,drawA9
BAI-5288,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Ohly, Mr. E. - private,20 Davis Street, London W.1,purchased earlier at an unknown place",,,Private Collection,"England, unprovenanced",,,,,,England,,,,,,,,,,,,,,Dark green patina; many pocks,,,,,"Typology: very slight bev. on sides; 5 ribs within both shields - slight skew,Condition: butt and blade tips blunted - probably recent",,"Archive: PIF; AFI,PRBAF: SI,Ext. CI,Rec. SN Oct. 78,Source: Sb A,Sub. Inf: Only - June 77",Joellen McGann,http://farm8.staticflickr.com/7406/12674185693_288b43158b_z.jpg,http://farm8.staticflickr.com/7406/12674185693_288b43158b_b.jpg,http://www.flickr.com/photos/MicroPasts/12674185693,superuser,drawA9
BAI-5287,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Christie's Sale,14.7.24,459/2,late Earl of Northesk (Rosehill Collection)",,,Private Collection,locality unknown,,,auction,,,,,,,,,,,,162,26,52,,"Has been a greeny grey black, but has been cleaned.",Smooth dark bronze. Good deal hammer marked.,22,"Site: provenance unknown,Width: edge 52mm; middle 26mm; butt 18mm,Thickness: 21.5mm; 6.5mm",,,,,,Joellen McGann,http://farm8.staticflickr.com/7344/12674058125_fc08960851_z.jpg,http://farm8.staticflickr.com/7344/12674058125_fc08960851_b.jpg,http://www.flickr.com/photos/MicroPasts/12674058125,superuser,drawA9
