objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,context,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-40245,433,Socketed Knife,,,,Bronze Age,p0gjgrs6qb2,,"Brentford Public Library,Layton Collection, 01270",1270,,Museum of London,"Switzerland,Lake Dwellings type",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,164,blade 16.25; socket 17,,,Brownish green bronze with slight green encrustment.,,blade 5.5; socket 17,,,,Rivet hole right through socket,,,Joellen McGann,https://farm1.staticflickr.com/509/18343955021_dc809e12a0_z.jpg,https://farm1.staticflickr.com/509/18343955021_dc809e12a0_b.jpg,https://www.flickr.com/photos/115096994@N02/18343955021,superuser,ForeignTools
BAI-40316,433,Sickle,,,,Bronze Age,p0gjgrs6qb2,,"Peabody Museum,E2165,Harvard University, cambridge, Mass.,Bequest of Prof. Hy. W. Haynes,1912",E2165,,Peabody Museum,Switzerland?,,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,144,blade 24,,,"some patina on butt - remainder, of almost gilded appearance",,average Thickness of back 5,,,,,,,Joellen McGann,https://farm1.staticflickr.com/554/17719861414_35b462bd02_z.jpg,https://farm1.staticflickr.com/554/17719861414_35b462bd02_b.jpg,https://www.flickr.com/photos/115096994@N02/17719861414,superuser,ForeignTools
BAI-40250,433,Knife,,,,Bronze Age,p0gjgrs6qb2,,"Peabody Museum,Harvard University,E2180,Cambridge, Mass.,Bequest of Prof. H. W. Haynes, 1912",E2180,,Peabody Museum,Switzerland?,,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,130,23,,,No patina,,8,,,,,,,Joellen McGann,https://farm1.staticflickr.com/370/18342502385_5708ba0355_z.jpg,https://farm1.staticflickr.com/370/18342502385_5708ba0355_b.jpg,https://www.flickr.com/photos/115096994@N02/18342502385,superuser,ForeignTools
BAI-40219,433,Chisel,,,,Bronze Age,p0gjgrs6qb2,,"Peabody Museum,E2177,Harvard University,Cambridge, Mass.,Bequest of Prof. H. W. Haynes, 1912",E2177,,Peabody Museum,Switzerland?,,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,70,5.5,,,Practically no patina,,5.5,,,,,,,Joellen McGann,https://farm8.staticflickr.com/7771/18154762450_b542fea082_z.jpg,https://farm8.staticflickr.com/7771/18154762450_b542fea082_b.jpg,https://www.flickr.com/photos/115096994@N02/18154762450,superuser,ForeignTools
BAI-40218,433,Chisel,,,,Bronze Age,p0gjgrs6qb2,,"Peabody Museum,E2177,Harvard University,Cambridge, Mass.,Bequest of Prof. H. W. Haynes, 1912",E2177,,Peabody Museum,Switzerland?,,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,104,6.5,,,practically no patina,,6,,,,"""Scalloped edges""",,,Joellen McGann,https://farm8.staticflickr.com/7755/17719876534_44b785f348_z.jpg,https://farm8.staticflickr.com/7755/17719876534_44b785f348_b.jpg,https://www.flickr.com/photos/115096994@N02/17719876534,superuser,ForeignTools
BAI-40315,433,Sickle,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Farnham",,,Pitt Rivers Museum,"Switzerland,From a lake",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,128,blade 40; tang 21,,56.7,,"Rough, bronze colour.",,,,,Edges indented.,,,Joellen McGann,https://farm1.staticflickr.com/310/17721824203_8de0a7f85f_z.jpg,https://farm1.staticflickr.com/310/17721824203_8de0a7f85f_b.jpg,https://www.flickr.com/photos/115096994@N02/17721824203,superuser,ForeignTools
BAI-40260,433,Knife,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Farnham",,,Pitt Rivers Museum,"Switzerland,Lake Dwellings",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,245,"blade 23, 26",,56.7,Ochre,Smooth,blade 5,,,,Edge damaged,,,Joellen McGann,https://farm8.staticflickr.com/7739/18154757180_ffed931fc2_z.jpg,https://farm8.staticflickr.com/7739/18154757180_ffed931fc2_b.jpg,https://www.flickr.com/photos/115096994@N02/18154757180,superuser,ForeignTools
BAI-40243,433,Knife,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Farnham",,,Pitt Rivers Museum,"Switzerland,Lake Dwellings",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,162,"blade 7, 15, 18",,28.35,Brown,Smooth,,,,,Edge slightly indented,,,Joellen McGann,https://farm9.staticflickr.com/8853/18338500772_50d39312e8_z.jpg,https://farm9.staticflickr.com/8853/18338500772_50d39312e8_b.jpg,https://www.flickr.com/photos/115096994@N02/18338500772,superuser,ForeignTools
BAI-40242,433,Knife,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Farnham",,,Pitt Rivers Museum,"Switzerland,Label: Bronze knife, Swiss Lakes",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,148,"blade 10, 22, 20",,56.7,,Rough,,,,,,,,Joellen McGann,https://farm8.staticflickr.com/7753/18154759400_cf91a584d6_z.jpg,https://farm8.staticflickr.com/7753/18154759400_cf91a584d6_b.jpg,https://www.flickr.com/photos/115096994@N02/18154759400,superuser,ForeignTools
BAI-40241,433,Knife,,,,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Farnham",,,Pitt Rivers Museum,"Switzerland,Lake Dwellings",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,157,"blade 11, 19; tang 10",,56.7,Ochre,Smooth,blade 4,,,,Edge slightly indented,,,Joellen McGann,https://farm8.staticflickr.com/7728/18316054466_38d603bf88_z.jpg,https://farm8.staticflickr.com/7728/18316054466_38d603bf88_b.jpg,https://www.flickr.com/photos/115096994@N02/18316054466,superuser,ForeignTools
